plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_time,day3_root,day4_time,day4_root,day5_time,day5_root,day6_time,day6_root,day7_time,day7_root,,,,
1_WT_controla_j,2,J,1,WT,0,,NG,,NG,10/3/2021 10:13,NG,10/4/2021 10:06,NG,,NG,,,,
1_WT_controla_j,2,J,2,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,3,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,4,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,5,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,6,WT,0,,0.473,,1.041,10/3/2021 10:13,2.262,,3.777,,4.494,,,,
1_WT_controla_j,2,J,7,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,8,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,9,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,10,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,11,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,12,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,13,WT,0,,NG,,NG,10/3/2021 10:13,0.266,,0.637,,1.089,,,,
1_WT_controla_j,2,J,14,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,15,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,16,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,0.285,,,,
1_WT_controla_j,2,J,17,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,18,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
1_WT_controla_j,2,J,19,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG, ,,,
1_WT_controla_j,2,J,20,WT,0,,NG,,NG,10/3/2021 10:13,NG,,NG,,NG,,,,
