plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root
1_WT_controla_j,1,J,1,WT,0,3,,
1_WT_controla_j,1,J,2,WT,0,3,,
1_WT_controla_j,1,J,3,WT,0,3,,
1_WT_controla_j,1,J,4,WT,0,3,,
1_WT_controla_j,1,J,5,WT,0,3,,
1_WT_controla_j,1,J,6,WT,0,3,,
1_WT_controla_j,1,J,7,WT,0,3,,
1_WT_controla_j,1,J,8,WT,0,3,,
1_WT_controla_j,1,J,9,WT,0,3,,
1_WT_controla_j,1,J,10,WT,0,3,,
1_WT_controla_j,1,J,11,WT,0,3,,
1_WT_controla_j,1,J,12,WT,0,3,,
1_WT_controla_j,1,J,13,WT,0,3,,
1_WT_controla_j,1,J,14,WT,0,3,,
1_WT_controla_j,1,J,15,WT,0,3,,
1_WT_controla_j,1,J,16,WT,0,3,,
1_WT_controla_j,1,J,17,WT,0,3,,
1_WT_controla_j,1,J,18,WT,0,3,,
1_WT_controla_j,1,J,19,WT,0,3,,
1_WT_controla_j,1,J,20,WT,0,3,,
1_WT_controla_j,1,J,21,WT,0,3,,
1_WT_controla_j,1,J,22,WT,0,3,,
1_WT_controlb_j,1,J,1,WT,0,3,,
1_WT_controlb_j,1,J,2,WT,0,3,,
1_WT_controlb_j,1,J,3,WT,0,3,,
1_WT_controlb_j,1,J,4,WT,0,3,,
1_WT_controlb_j,1,J,5,WT,0,3,,
1_WT_controlb_j,1,J,6,WT,0,3,,
1_WT_controlb_j,1,J,7,WT,0,3,,
1_WT_controlb_j,1,J,8,WT,0,3,,
1_WT_controlb_j,1,J,9,WT,0,3,,
1_WT_controlb_j,1,J,10,WT,0,3,,
1_WT_controlb_j,1,J,11,WT,0,3,,
1_WT_controlb_j,1,J,12,WT,0,3,,
1_WT_controlb_j,1,J,13,WT,0,3,,
1_WT_controlb_j,1,J,14,WT,0,3,,
1_WT_controlb_j,1,J,15,WT,0,3,,
1_WT_controlb_j,1,J,16,WT,0,3,,
1_WT_controlb_j,1,J,17,WT,0,3,,
1_WT_controlb_j,1,J,18,WT,0,3,,
1_WT_controlb_j,1,J,19,WT,0,3,,
1_WT_controlb_j,1,J,20,WT,0,3,,
1_WT_controlb_j,1,J,21,WT,0,3,,
1_WT_controlb_j,1,J,22,WT,0,3,,
1_WT_controlb_j,1,J,23,WT,0,3,,
1_WT_controlb_j,1,J,24,WT,0,3,,
1_WT_137.5_j,1,J,1,WT,137.5,3,,
1_WT_137.5_j,1,J,2,WT,137.5,3,,
1_WT_137.5_j,1,J,3,WT,137.5,3,,
1_WT_137.5_j,1,J,4,WT,137.5,3,,
1_WT_137.5_j,1,J,5,WT,137.5,3,,
1_WT_137.5_j,1,J,6,WT,137.5,3,,
1_WT_137.5_j,1,J,7,WT,137.5,3,,
1_WT_137.5_j,1,J,8,WT,137.5,3,,
1_WT_137.5_j,1,J,9,WT,137.5,3,,
1_WT_137.5_j,1,J,10,WT,137.5,3,,
1_WT_137.5_j,1,J,11,WT,137.5,3,,
1_WT_137.5_j,1,J,12,WT,137.5,3,,
1_WT_137.5_j,1,J,13,WT,137.5,3,,
1_WT_137.5_j,1,J,14,WT,137.5,3,,
1_WT_137.5_j,1,J,15,WT,137.5,3,,
1_WT_137.5_j,1,J,16,WT,137.5,3,,
1_WT_137.5_j,1,J,17,WT,137.5,3,,
1_WT_137.5_j,1,J,18,WT,137.5,3,,
1_WT_137.5_j,1,J,19,WT,137.5,3,,
1_WT_137.5_j,1,J,20,WT,137.5,3,,
1_KO_controla_j,1,J,1,KO,0,3,,
1_KO_controla_j,1,J,2,KO,0,3,,
1_KO_controla_j,1,J,3,KO,0,3,,
1_KO_controla_j,1,J,4,KO,0,3,,
1_KO_controla_j,1,J,5,KO,0,3,,
1_KO_controla_j,1,J,6,KO,0,3,,
1_KO_controla_j,1,J,7,KO,0,3,,
1_KO_controla_j,1,J,8,KO,0,3,,
1_KO_controla_j,1,J,9,KO,0,3,,
1_KO_controla_j,1,J,10,KO,0,3,,
1_KO_controla_j,1,J,11,KO,0,3,,
1_KO_controla_j,1,J,12,KO,0,3,,
1_KO_controla_j,1,J,13,KO,0,3,,
1_KO_controla_j,1,J,14,KO,0,3,,
1_KO_controla_j,1,J,15,KO,0,3,,
1_KO_controla_j,1,J,16,KO,0,3,,
1_KO_controla_j,1,J,17,KO,0,3,,
1_KO_controla_j,1,J,18,KO,0,3,,
1_KO_controla_j,1,J,19,KO,0,3,,
1_KO_controla_j,1,J,20,KO,0,3,,
1_KO_controlb_j,1,J,1,KO,0,3,,
1_KO_controlb_j,1,J,2,KO,0,3,,
1_KO_controlb_j,1,J,3,KO,0,3,,
1_KO_controlb_j,1,J,4,KO,0,3,,
1_KO_controlb_j,1,J,5,KO,0,3,,
1_KO_controlb_j,1,J,6,KO,0,3,,
1_KO_controlb_j,1,J,7,KO,0,3,,
1_KO_controlb_j,1,J,8,KO,0,3,,
1_KO_controlb_j,1,J,9,KO,0,3,,
1_KO_controlb_j,1,J,10,KO,0,3,,
1_KO_controlb_j,1,J,11,KO,0,3,,
1_KO_controlb_j,1,J,12,KO,0,3,,
1_KO_controlb_j,1,J,13,KO,0,3,,
1_KO_controlb_j,1,J,14,KO,0,3,,
1_KO_controlb_j,1,J,15,KO,0,3,,
1_KO_controlb_j,1,J,16,KO,0,3,,
1_KO_controlb_j,1,J,17,KO,0,3,,
1_KO_controlb_j,1,J,18,KO,0,3,,
1_KO_controlb_j,1,J,19,KO,0,3,,
1_KO_controlb_j,1,J,20,KO,0,3,,
1_KO_137.5_j,1,J,1,KO,137.5,3,,
1_KO_137.5_j,1,J,2,KO,137.5,3,,
1_KO_137.5_j,1,J,3,KO,137.5,3,,
1_KO_137.5_j,1,J,4,KO,137.5,3,,
1_KO_137.5_j,1,J,5,KO,137.5,3,,
1_KO_137.5_j,1,J,6,KO,137.5,3,,
1_KO_137.5_j,1,J,7,KO,137.5,3,,
1_KO_137.5_j,1,J,8,KO,137.5,3,,
1_KO_137.5_j,1,J,9,KO,137.5,3,,
1_KO_137.5_j,1,J,10,KO,137.5,3,,
1_KO_137.5_j,1,J,11,KO,137.5,3,,
1_KO_137.5_j,1,J,12,KO,137.5,3,,
1_KO_137.5_j,1,J,13,KO,137.5,3,,
1_KO_137.5_j,1,J,14,KO,137.5,3,,
1_KO_137.5_j,1,J,15,KO,137.5,3,,
1_KO_137.5_j,1,J,16,KO,137.5,3,,
1_KO_137.5_j,1,J,17,KO,137.5,3,,
1_KO_137.5_j,1,J,18,KO,137.5,3,,
1_KO_137.5_j,1,J,19,KO,137.5,3,,
1_KO_137.5_j,1,J,20,KO,137.5,3,,
1_KO_137.5_j,1,J,21,KO,137.5,3,,
1_KO_137.5_j,1,J,22,KO,137.5,3,,
1_WT_controla_j,1,J,1,WT,0,4,,
1_WT_controla_j,1,J,2,WT,0,4,,
1_WT_controla_j,1,J,3,WT,0,4,,
1_WT_controla_j,1,J,4,WT,0,4,,
1_WT_controla_j,1,J,5,WT,0,4,,
1_WT_controla_j,1,J,6,WT,0,4,,
1_WT_controla_j,1,J,7,WT,0,4,,
1_WT_controla_j,1,J,8,WT,0,4,,
1_WT_controla_j,1,J,9,WT,0,4,,
1_WT_controla_j,1,J,10,WT,0,4,,
1_WT_controla_j,1,J,11,WT,0,4,,
1_WT_controla_j,1,J,12,WT,0,4,,
1_WT_controla_j,1,J,13,WT,0,4,,
1_WT_controla_j,1,J,14,WT,0,4,,
1_WT_controla_j,1,J,15,WT,0,4,,
1_WT_controla_j,1,J,16,WT,0,4,,
1_WT_controla_j,1,J,17,WT,0,4,,
1_WT_controla_j,1,J,18,WT,0,4,,
1_WT_controla_j,1,J,19,WT,0,4,,
1_WT_controla_j,1,J,20,WT,0,4,,
1_WT_controla_j,1,J,21,WT,0,4,,
1_WT_controla_j,1,J,22,WT,0,4,,
1_WT_controlb_j,1,J,1,WT,0,4,,
1_WT_controlb_j,1,J,2,WT,0,4,,
1_WT_controlb_j,1,J,3,WT,0,4,,
1_WT_controlb_j,1,J,4,WT,0,4,,
1_WT_controlb_j,1,J,5,WT,0,4,,
1_WT_controlb_j,1,J,6,WT,0,4,,
1_WT_controlb_j,1,J,7,WT,0,4,,
1_WT_controlb_j,1,J,8,WT,0,4,,
1_WT_controlb_j,1,J,9,WT,0,4,,
1_WT_controlb_j,1,J,10,WT,0,4,,
1_WT_controlb_j,1,J,11,WT,0,4,,
1_WT_controlb_j,1,J,12,WT,0,4,,
1_WT_controlb_j,1,J,13,WT,0,4,,
1_WT_controlb_j,1,J,14,WT,0,4,,
1_WT_controlb_j,1,J,15,WT,0,4,,
1_WT_controlb_j,1,J,16,WT,0,4,,
1_WT_controlb_j,1,J,17,WT,0,4,,
1_WT_controlb_j,1,J,18,WT,0,4,,
1_WT_controlb_j,1,J,19,WT,0,4,,
1_WT_controlb_j,1,J,20,WT,0,4,,
1_WT_controlb_j,1,J,21,WT,0,4,,
1_WT_controlb_j,1,J,22,WT,0,4,,
1_WT_controlb_j,1,J,23,WT,0,4,,
1_WT_controlb_j,1,J,24,WT,0,4,,
1_WT_137.5_j,1,J,1,WT,137.5,4,,
1_WT_137.5_j,1,J,2,WT,137.5,4,,
1_WT_137.5_j,1,J,3,WT,137.5,4,,
1_WT_137.5_j,1,J,4,WT,137.5,4,,
1_WT_137.5_j,1,J,5,WT,137.5,4,,
1_WT_137.5_j,1,J,6,WT,137.5,4,,
1_WT_137.5_j,1,J,7,WT,137.5,4,,
1_WT_137.5_j,1,J,8,WT,137.5,4,,
1_WT_137.5_j,1,J,9,WT,137.5,4,,
1_WT_137.5_j,1,J,10,WT,137.5,4,,
1_WT_137.5_j,1,J,11,WT,137.5,4,,
1_WT_137.5_j,1,J,12,WT,137.5,4,,
1_WT_137.5_j,1,J,13,WT,137.5,4,,
1_WT_137.5_j,1,J,14,WT,137.5,4,,
1_WT_137.5_j,1,J,15,WT,137.5,4,,
1_WT_137.5_j,1,J,16,WT,137.5,4,,
1_WT_137.5_j,1,J,17,WT,137.5,4,,
1_WT_137.5_j,1,J,18,WT,137.5,4,,
1_WT_137.5_j,1,J,19,WT,137.5,4,,
1_WT_137.5_j,1,J,20,WT,137.5,4,,
1_KO_controla_j,1,J,1,KO,0,4,,
1_KO_controla_j,1,J,2,KO,0,4,,
1_KO_controla_j,1,J,3,KO,0,4,,
1_KO_controla_j,1,J,4,KO,0,4,,
1_KO_controla_j,1,J,5,KO,0,4,,
1_KO_controla_j,1,J,6,KO,0,4,,
1_KO_controla_j,1,J,7,KO,0,4,,
1_KO_controla_j,1,J,8,KO,0,4,,
1_KO_controla_j,1,J,9,KO,0,4,,
1_KO_controla_j,1,J,10,KO,0,4,,
1_KO_controla_j,1,J,11,KO,0,4,,
1_KO_controla_j,1,J,12,KO,0,4,,
1_KO_controla_j,1,J,13,KO,0,4,,
1_KO_controla_j,1,J,14,KO,0,4,,
1_KO_controla_j,1,J,15,KO,0,4,,
1_KO_controla_j,1,J,16,KO,0,4,,
1_KO_controla_j,1,J,17,KO,0,4,,
1_KO_controla_j,1,J,18,KO,0,4,,
1_KO_controla_j,1,J,19,KO,0,4,,
1_KO_controla_j,1,J,20,KO,0,4,,
1_KO_controlb_j,1,J,1,KO,0,4,,
1_KO_controlb_j,1,J,2,KO,0,4,,
1_KO_controlb_j,1,J,3,KO,0,4,,
1_KO_controlb_j,1,J,4,KO,0,4,,
1_KO_controlb_j,1,J,5,KO,0,4,,
1_KO_controlb_j,1,J,6,KO,0,4,,
1_KO_controlb_j,1,J,7,KO,0,4,,
1_KO_controlb_j,1,J,8,KO,0,4,,
1_KO_controlb_j,1,J,9,KO,0,4,,
1_KO_controlb_j,1,J,10,KO,0,4,,
1_KO_controlb_j,1,J,11,KO,0,4,,
1_KO_controlb_j,1,J,12,KO,0,4,,
1_KO_controlb_j,1,J,13,KO,0,4,,
1_KO_controlb_j,1,J,14,KO,0,4,,
1_KO_controlb_j,1,J,15,KO,0,4,,
1_KO_controlb_j,1,J,16,KO,0,4,,
1_KO_controlb_j,1,J,17,KO,0,4,,
1_KO_controlb_j,1,J,18,KO,0,4,,
1_KO_controlb_j,1,J,19,KO,0,4,,
1_KO_controlb_j,1,J,20,KO,0,4,,
1_KO_137.5_j,1,J,1,KO,137.5,4,,
1_KO_137.5_j,1,J,2,KO,137.5,4,,
1_KO_137.5_j,1,J,3,KO,137.5,4,,
1_KO_137.5_j,1,J,4,KO,137.5,4,,
1_KO_137.5_j,1,J,5,KO,137.5,4,,
1_KO_137.5_j,1,J,6,KO,137.5,4,,
1_KO_137.5_j,1,J,7,KO,137.5,4,,
1_KO_137.5_j,1,J,8,KO,137.5,4,,
1_KO_137.5_j,1,J,9,KO,137.5,4,,
1_KO_137.5_j,1,J,10,KO,137.5,4,,
1_KO_137.5_j,1,J,11,KO,137.5,4,,
1_KO_137.5_j,1,J,12,KO,137.5,4,,
1_KO_137.5_j,1,J,13,KO,137.5,4,,
1_KO_137.5_j,1,J,14,KO,137.5,4,,
1_KO_137.5_j,1,J,15,KO,137.5,4,,
1_KO_137.5_j,1,J,16,KO,137.5,4,,
1_KO_137.5_j,1,J,17,KO,137.5,4,,
1_KO_137.5_j,1,J,18,KO,137.5,4,,
1_KO_137.5_j,1,J,19,KO,137.5,4,,
1_KO_137.5_j,1,J,20,KO,137.5,4,,
1_KO_137.5_j,1,J,21,KO,137.5,4,,
1_KO_137.5_j,1,J,22,KO,137.5,4,,
1_WT_controla_j,1,J,1,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,2,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,3,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,4,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,5,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,6,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,7,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,8,WT,0,5,11/15/2021 10:08,
1_WT_controla_j,1,J,9,WT,0,5,11/15/2021 10:08,
