plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_date,day3_root,day4_date,day4_root,day5_date,day5_root,day6_date,day6_root,day7_date,day7_root
1_WT_controla_j,1,J,1,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,2,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,3,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,4,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,5,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,6,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,7,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,8,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,9,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,10,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,11,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,12,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
1_WT_controla_j,1,J,13,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,G,9/26/2021 10:26:00 AM,G,9/27/2021 11:42:00 AM,0.873,9/28/2021 10:41:00 AM,1.132
1_WT_controla_j,1,J,14,WT,0,9/24/2021 10:55:00 AM,NG,9/25/2021 11:31:00 AM,NG,9/26/2021 10:26:00 AM,NG,9/27/2021 11:42:00 AM,NG,9/28/2021 10:41:00 AM,NG
