plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day3_date,day3_root,day4_date,day4_root,day5_date,day5_root,day6_date,day6_root,day7_date,day7_root
1_WT_controla_m,1,M,1,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,2,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,3,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,0.967,9/28/2021 10:39:00,2.332
1_WT_controla_m,1,M,4,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,5,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,0.433,9/27/2021 11:40:00,1.554,9/28/2021 10:39:00,3.011
1_WT_controla_m,1,M,6,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,7,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,8,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,9,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,10,WT,0,9/24/2021 10:19:00,0.749,9/25/2021 11:29:00,1.996,9/26/2021 10:26:00,3.45,9/27/2021 11:40:00,4.964,9/28/2021 10:39:00,5.042
1_WT_controla_m,1,M,11,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:39:00,NG
1_WT_controla_m,1,M,12,WT,0,9/24/2021 10:19:00,0.75,9/25/2021 11:29:00,2.116,9/26/2021 10:26:00,3.74,9/27/2021 11:40:00,5.631,9/28/2021 10:39:00,6.776
1_WT_controla_m,1,M,13,WT,0,9/24/2021 10:19:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,0.792,9/27/2021 11:40:00,1.992,9/28/2021 10:39:00,3.325
1_WT_controlb_m,1,M,1,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,2,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,3,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,4,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,5,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,6,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,7,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,8,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,9,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,10,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,11,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,12,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,13,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,14,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,15,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,16,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,17,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,18,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,19,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_controlb_m,1,M,20,WT,0,9/24/2021 10:24:00,NG,9/25/2021 11:28:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
1_WT_7.5_m,1,M,1,WT,7.5,9/24/2021 10:53:00,NG,9/25/2021 11:29:00,NG,9/26/2021 10:26:00,NG,9/27/2021 11:40:00,NG,9/28/2021 10:40:00,NG
