plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root
7_WT_controla_m,9,M,1,WT,0,5,,5.984
7_WT_controla_m,9,M,2,WT,0,5,,7.689
7_WT_controla_m,9,M,3,WT,0,5,,2.113
7_WT_controla_m,9,M,4,WT,0,5,,6.04
7_WT_controla_m,9,M,5,WT,0,5,,5.29
7_WT_controla_m,9,M,6,WT,0,5,,9.942
7_WT_controla_m,9,M,7,WT,0,5,,8.928
7_WT_controla_m,9,M,8,WT,0,5,,8.005
7_WT_controla_m,9,M,9,WT,0,5,,8.721
7_WT_controla_m,9,M,10,WT,0,5,,8.547
7_WT_controla_m,9,M,11,WT,0,5,,3.808
7_WT_controla_m,9,M,12,WT,0,5,,7.696
7_WT_controla_m,9,M,13,WT,0,5,,5.353
7_WT_controla_m,9,M,14,WT,0,5,,4.355
7_WT_controla_m,9,M,15,WT,0,5,,8.027
7_WT_controla_m,9,M,16,WT,0,5,,7.78
7_WT_controla_m,9,M,17,WT,0,5,,5.08
7_WT_controla_m,9,M,18,WT,0,5,,4.343
7_WT_controla_m,9,M,19,WT,0,5,,6.275
7_WT_controla_m,9,M,20,WT,0,5,,8.353
7_WT_controla_m,9,M,21,WT,0,5,,8.968
7_WT_controla_m,9,M,22,WT,0,5,,6.067
7_WT_controla_m,9,M,23,WT,0,5,,8.981
7_WT_controla_m,9,M,24,WT,0,5,,7.139
7_WT_controla_m,9,M,25,WT,0,5,,7.402
7_WT_controla_m,9,M,26,WT,0,5,,7.418
7_WT_5_m,9,M,1,WT,0.5,5,,7.717
7_WT_5_m,9,M,2,WT,0.5,5,,9.329
7_WT_5_m,9,M,3,WT,0.5,5,,4.811
7_WT_5_m,9,M,4,WT,0.5,5,,5.827
7_WT_5_m,9,M,5,WT,0.5,5,,6.844
7_WT_5_m,9,M,6,WT,0.5,5,,4.968
7_WT_5_m,9,M,7,WT,0.5,5,,4.43
7_WT_5_m,9,M,8,WT,0.5,5,,3.6
7_WT_5_m,9,M,9,WT,0.5,5,,8.368
7_WT_5_m,9,M,10,WT,0.5,5,,6.238
7_WT_5_m,9,M,11,WT,0.5,5,,7.91
7_WT_5_m,9,M,12,WT,0.5,5,,7.617
7_WT_5_m,9,M,13,WT,0.5,5,,8.291
7_WT_5_m,9,M,14,WT,0.5,5,,6.745
7_WT_5_m,9,M,15,WT,0.5,5,,8.389
7_WT_5_m,9,M,16,WT,0.5,5,,7.228
7_WT_5_m,9,M,17,WT,0.5,5,,6.86
7_WT_5_m,9,M,18,WT,0.5,5,,7.643
7_WT_5_m,9,M,19,WT,0.5,5,,8.032
7_WT_5_m,9,M,20,WT,0.5,5,,4.385
7_WT_5_m,9,M,21,WT,0.5,5,,6.828
7_WT_5_m,9,M,22,WT,0.5,5,,9.984
7_WT_7.5_m,9,M,1,WT,1,5,,6.482
7_WT_7.5_m,9,M,2,WT,1,5,,7.034
7_WT_7.5_m,9,M,3,WT,1,5,,6.655
7_WT_7.5_m,9,M,4,WT,1,5,,7.09
7_WT_7.5_m,9,M,5,WT,1,5,,7.596
7_WT_7.5_m,9,M,6,WT,1,5,,3.998
7_WT_7.5_m,9,M,7,WT,1,5,,7.483
7_WT_7.5_m,9,M,8,WT,1,5,,7.721
7_WT_7.5_m,9,M,9,WT,1,5,,3
7_WT_7.5_m,9,M,10,WT,1,5,,6.435
7_WT_7.5_m,9,M,11,WT,1,5,,7.383
7_WT_7.5_m,9,M,12,WT,1,5,,6.024
7_WT_7.5_m,9,M,13,WT,1,5,,7.613
7_WT_7.5_m,9,M,14,WT,1,5,,6.879
7_WT_7.5_m,9,M,15,WT,1,5,,6.134
7_WT_7.5_m,9,M,16,WT,1,5,,3.871
7_WT_7.5_m,9,M,17,WT,1,5,,6.708
7_WT_7.5_m,9,M,18,WT,1,5,,3.677
7_WT_7.5_m,9,M,19,WT,1,5,,7.093
7_WT_7.5_m,9,M,20,WT,1,5,,5.629
9_WT_100_m,9,M,1,WT,2,5,,7.458
9_WT_100_m,9,M,2,WT,2,5,,4.731
9_WT_100_m,9,M,3,WT,2,5,,7.548
9_WT_100_m,9,M,4,WT,2,5,,5.83
9_WT_100_m,9,M,5,WT,2,5,,5.616
9_WT_100_m,9,M,6,WT,2,5,,9.97
9_WT_100_m,9,M,7,WT,2,5,,8.028
9_WT_100_m,9,M,8,WT,2,5,,8.322
9_WT_100_m,9,M,9,WT,2,5,,9.399
9_WT_100_m,9,M,10,WT,2,5,,4.213
9_WT_100_m,9,M,11,WT,2,5,,5.931
9_WT_100_m,9,M,12,WT,2,5,,2.818
9_WT_100_m,9,M,13,WT,2,5,,5.793
9_WT_100_m,9,M,14,WT,2,5,,3.459
9_WT_100_m,9,M,15,WT,2,5,,7.273
9_WT_100_m,9,M,16,WT,2,5,,6.423
9_WT_100_m,9,M,17,WT,2,5,,4.992
9_WT_100_m,9,M,18,WT,2,5,,4.823
9_WT_100_m,9,M,19,WT,2,5,,7.39
9_WT_100_m,9,M,20,WT,2,5,,7.343
9_WT_125_m,9,M,1,WT,10,5,,9.497
9_WT_125_m,9,M,2,WT,10,5,,6.652
9_WT_125_m,9,M,3,WT,10,5,,7.27
9_WT_125_m,9,M,4,WT,10,5,,7.066
9_WT_125_m,9,M,5,WT,10,5,,9.671
9_WT_125_m,9,M,6,WT,10,5,,6.235
9_WT_125_m,9,M,7,WT,10,5,,4.818
9_WT_125_m,9,M,8,WT,10,5,,3.798
9_WT_125_m,9,M,9,WT,10,5,,7.615
9_WT_125_m,9,M,10,WT,10,5,,6.883
9_WT_125_m,9,M,11,WT,10,5,,3.454
9_WT_125_m,9,M,12,WT,10,5,,4.13
9_WT_125_m,9,M,13,WT,10,5,,6.14
9_WT_125_m,9,M,14,WT,10,5,,7.989
9_WT_125_m,9,M,15,WT,10,5,,9.396
9_WT_125_m,9,M,16,WT,10,5,,8.337
9_WT_125_m,9,M,17,WT,10,5,,7.718
9_WT_125_m,9,M,18,WT,10,5,,8.792
9_WT_200_m,9,M,1,WT,20,5,,9.892
9_WT_200_m,9,M,2,WT,20,5,,9.016
9_WT_200_m,9,M,3,WT,20,5,,10.531
9_WT_200_m,9,M,4,WT,20,5,,12.601
9_WT_200_m,9,M,5,WT,20,5,,10.378
9_WT_200_m,9,M,6,WT,20,5,,10.943
9_WT_200_m,9,M,7,WT,20,5,,6.939
9_WT_200_m,9,M,8,WT,20,5,,4.543
9_WT_200_m,9,M,9,WT,20,5,,9.79
9_WT_200_m,9,M,10,WT,20,5,,12.225
9_WT_200_m,9,M,11,WT,20,5,,12.495
9_WT_200_m,9,M,12,WT,20,5,,9.681
9_WT_200_m,9,M,13,WT,20,5,,9.552
9_WT_200_m,9,M,14,WT,20,5,,4.965
9_WT_200_m,9,M,15,WT,20,5,,8.777
9_WT_200_m,9,M,16,WT,20,5,,9.172
9_WT_200_m,9,M,17,WT,20,5,,7.724
9_WT_200_m,9,M,18,WT,20,5,,8.736
9_WT_200_m,9,M,19,WT,20,5,,7.779
