plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,growth.rate
7_WT_controla_m,11,M,1,WT,0,5,,2.597,
7_WT_controla_m,11,M,2,WT,0,5,,2.605,
7_WT_controla_m,11,M,3,WT,0,5,,0.699,
7_WT_controla_m,11,M,4,WT,0,5,,2.382,
7_WT_controla_m,11,M,5,WT,0,5,,0.757,
7_WT_controla_m,11,M,6,WT,0,5,,2.905,
7_WT_controla_m,11,M,7,WT,0,5,,1.31,
7_WT_controla_m,11,M,8,WT,0,5,,1.89,
7_WT_controla_m,11,M,9,WT,0,5,,1.78,
7_WT_controla_m,11,M,10,WT,0,5,,1.682,
7_WT_controla_m,11,M,11,WT,0,5,,2.793,
7_WT_controla_m,11,M,12,WT,0,5,,1.573,
7_WT_controla_m,11,M,13,WT,0,5,,2.97,
7_WT_controla_m,11,M,14,WT,0,5,,2.095,
7_WT_controla_m,11,M,15,WT,0,5,,1.639,
7_WT_controla_m,11,M,16,WT,0,5,,2.603,
7_WT_controla_m,11,M,17,WT,0,5,,1.614,
7_WT_controla_m,11,M,18,WT,0,5,,2.334,
7_WT_controla_m,11,M,19,WT,0,5,,1.436,
7_WT_10_j,11,M,1,WT,10,5,,2.88,
7_WT_10_j,11,M,2,WT,10,5,,2.77,
7_WT_10_j,11,M,3,WT,10,5,,2.5,
7_WT_10_j,11,M,4,WT,10,5,,3.402,
7_WT_10_j,11,M,5,WT,10,5,,3.324,
7_WT_10_j,11,M,6,WT,10,5,,1.416,
7_WT_10_j,11,M,7,WT,10,5,,3.886,
7_WT_10_j,11,M,8,WT,10,5,,3.191,
7_WT_10_j,11,M,9,WT,10,5,,2.242,
7_WT_10_j,11,M,10,WT,10,5,,2.736,
7_WT_10_j,11,M,11,WT,10,5,,3.729,
7_WT_10_j,11,M,12,WT,10,5,,2.439,
7_WT_10_j,11,M,13,WT,10,5,,3.312,
7_WT_10_j,11,M,14,WT,10,5,,2.489,
7_WT_10_j,11,M,15,WT,10,5,,3.054,
7_WT_10_j,11,M,16,WT,10,5,,2.199,
7_WT_10_j,11,M,17,WT,10,5,,3.438,
7_WT_10_j,11,M,18,WT,10,5,,2.291,
7_WT_10_j,11,M,19,WT,10,5,,2.006,
7_WT_10_j,11,M,20,WT,10,5,,3.643,
7_WT_10_j,11,M,21,WT,10,5,,2.974,
7_WT_10_j,11,M,22,WT,10,5,,2.092,
7_WT_10_j,11,M,23,WT,10,5,,1.956,
7_WT_200_j,11,M,1,WT,200,5,,1.903,
7_WT_200_j,11,M,2,WT,200,5,,2.476,
7_WT_200_j,11,M,3,WT,200,5,,2.134,
7_WT_200_j,11,M,4,WT,200,5,,1.308,
7_WT_200_j,11,M,5,WT,200,5,,2.182,
7_WT_200_j,11,M,6,WT,200,5,,2.282,
7_WT_200_j,11,M,7,WT,200,5,,2.271,
7_WT_200_j,11,M,8,WT,200,5,,2.08,
7_WT_200_j,11,M,9,WT,200,5,,2.739,
7_WT_200_j,11,M,10,WT,200,5,,2.186,
7_WT_200_j,11,M,11,WT,200,5,,1.904,
7_WT_200_j,11,M,12,WT,200,5,,2.542,
7_WT_200_j,11,M,13,WT,200,5,,1.277,
7_WT_200_j,11,M,14,WT,200,5,,1.114,
7_WT_200_j,11,M,15,WT,200,5,,2.402,
7_WT_200_j,11,M,16,WT,200,5,,1.761,
7_WT_200_j,11,M,17,WT,200,5,,1.863,
7_WT_200_j,11,M,18,WT,200,5,,1.364,
7_KO_control_j,11,M,1,KO,0,5,,1.543,
7_KO_control_j,11,M,2,KO,0,5,,1.326,
7_KO_control_j,11,M,3,KO,0,5,,1.657,
7_KO_control_j,11,M,4,KO,0,5,,1.049,
7_KO_control_j,11,M,5,KO,0,5,,1.309,
7_KO_control_j,11,M,6,KO,0,5,,1.071,
7_KO_control_j,11,M,7,KO,0,5,,1.554,
7_KO_control_j,11,M,8,KO,0,5,,1.169,
7_KO_control_j,11,M,9,KO,0,5,,0.588,
7_KO_control_j,11,M,10,KO,0,5,,0.799,
7_KO_control_j,11,M,11,KO,0,5,,1.498,
7_KO_control_j,11,M,12,KO,0,5,,1.294,
7_KO_control_j,11,M,13,KO,0,5,,0.726,
7_KO_control_j,11,M,14,KO,0,5,,1.118,
7_KO_control_j,11,M,15,KO,0,5,,1.468,
7_KO_control_j,11,M,16,KO,0,5,,1.191,
7_KO_control_j,11,M,17,KO,0,5,,1.238,
7_KO_control_j,11,M,18,KO,0,5,,1.197,
7_KO_control_j,11,M,19,KO,0,5,,1.44,
7_KO_control_j,11,M,20,KO,0,5,,1.992,
7_KO_control_j,11,M,21,KO,0,5,,1.048,
7_KO_control_j,11,M,22,KO,0,5,,1.191,
7_KO_control_j,11,M,23,KO,0,5,,1.192,
7_KO_200_j,11,M,1,KO,200,5,,0.766,
7_KO_200_j,11,M,2,KO,200,5,,0.986,
7_KO_200_j,11,M,3,KO,200,5,,0.764,
7_KO_200_j,11,M,4,KO,200,5,,0.808,
7_KO_200_j,11,M,5,KO,200,5,,1.102,
7_KO_200_j,11,M,6,KO,200,5,,0.706,
7_KO_200_j,11,M,7,KO,200,5,,0.824,
7_KO_200_j,11,M,8,KO,200,5,,0.711,
7_KO_200_j,11,M,9,KO,200,5,,0.777,
7_KO_200_j,11,M,10,KO,200,5,,1.44,
7_KO_200_j,11,M,11,KO,200,5,,0.904,
7_KO_200_j,11,M,12,KO,200,5,,1.187,
7_KO_200_j,11,M,13,KO,200,5,,1.16,
7_KO_200_j,11,M,14,KO,200,5,,1.222,
7_KO_200_j,11,M,15,KO,200,5,,0.846,
7_KO_200_j,11,M,16,KO,200,5,,0.664,
7_KO_200_j,11,M,17,KO,200,5,,0.861,
7_KO_200_j,11,M,18,KO,200,5,,0.899,
7_OX_control_j,11,J,1,OX,0,5,,1.713,
7_OX_control_j,11,J,2,OX,0,5,,2.296,
7_OX_control_j,11,J,3,OX,0,5,,1.863,
7_OX_control_j,11,J,4,OX,0,5,,1.511,
7_OX_control_j,11,J,5,OX,0,5,,1.86,
7_OX_control_j,11,J,6,OX,0,5,,1.082,
7_OX_control_j,11,J,7,OX,0,5,,1.532,
7_OX_control_j,11,J,8,OX,0,5,,1.309,
7_OX_control_j,11,J,9,OX,0,5,,1.852,
7_OX_control_j,11,J,10,OX,0,5,,1.786,
7_OX_control_j,11,J,11,OX,0,5,,1.991,
7_OX_control_j,11,J,12,OX,0,5,,0.996,
7_OX_control_j,11,J,13,OX,0,5,,2.121,
7_OX_control_j,11,J,14,OX,0,5,,2.46,
7_OX_control_j,11,J,15,OX,0,5,,2.288,
7_OX_control_j,11,J,16,OX,0,5,,1.026,
7_OX_control_j,11,J,17,OX,0,5,,1.644,
7_OX_10_j,11,J,1,OX,10,5,,1.105,
7_OX_10_j,11,J,2,OX,10,5,,1.058,
7_OX_10_j,11,J,3,OX,10,5,,1.402,
7_OX_10_j,11,J,4,OX,10,5,,0.779,
7_OX_10_j,11,J,5,OX,10,5,,1.056,
7_OX_10_j,11,J,6,OX,10,5,,0.886,
7_OX_10_j,11,J,7,OX,10,5,,0.917,
7_OX_10_j,11,J,8,OX,10,5,,0.839,
7_OX_10_j,11,J,9,OX,10,5,,1.016,
7_OX_10_j,11,J,10,OX,10,5,,0.961,
7_OX_10_j,11,J,11,OX,10,5,,1.131,
7_OX_10_j,11,J,12,OX,10,5,,0.937,
7_OX_10_j,11,J,13,OX,10,5,,1.287,
7_OX_10_j,11,J,14,OX,10,5,,1.215,
7_OX_10_j,11,J,15,OX,10,5,,1.434,
7_OX_10_j,11,J,16,OX,10,5,,1.299,
