plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root,,,,,,0,7.5,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,1,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,KO,0.1925214,0.117678,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,2,WT,0,3,10/01/2021 10:17:00 AM,0,,day,7,,WT,0.5086518,NA,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,3,WT,0,3,10/01/2021 10:17:00 AM,0,,root,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,4,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,5,WT,0,3,10/01/2021 10:17:00 AM,0,,Average of root,Column Labels,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,6,WT,0,3,10/01/2021 10:17:00 AM,0.473,,Row Labels,0,7.5,Grand Total,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,7,WT,0,3,10/01/2021 10:17:00 AM,0,,WT,2.489375,2.193,2.456444444,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,8,WT,0,3,10/01/2021 10:17:00 AM,0,,KO,3.957695652,2.569833333,3.481857143,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,9,WT,0,3,10/01/2021 10:17:00 AM,0,,Grand Total,3.740166667,2.55476,3.365037975,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,10,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,11,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,12,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,13,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,14,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,15,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,16,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,17,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,18,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,19,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,, ,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,20,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controla_j,2,J,21,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,1,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,2,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,3,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,4,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,5,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,6,WT,0,3,10/01/2021 10:17:00 AM,0,,,,,,,,,,,,,,,,,,,,,,,,,
2_WT_controlb_j,2,J,7,WT,0,3,10/01/2021 10:17:00 AM,0.365,,,,,,,,,,,,,,,,,,,,,,,,,
