plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root
4_WT_controla_m,4,M,1,WT,0,3,11/8/2021 10:05,0.646
4_WT_controla_m,4,M,2,WT,0,3,11/8/2021 10:05,1.106
4_WT_controla_m,4,M,3,WT,0,3,11/8/2021 10:05,0.778
4_WT_controla_m,4,M,4,WT,0,3,11/8/2021 10:05,0.882
4_WT_controla_m,4,M,5,WT,0,3,11/8/2021 10:05,0.588
4_WT_controla_m,4,M,6,WT,0,3,11/8/2021 10:05,0.403
4_WT_controla_m,4,M,7,WT,0,3,11/8/2021 10:05,0.355
4_WT_controla_m,4,M,8,WT,0,3,11/8/2021 10:05,0.741
4_WT_controla_m,4,M,9,WT,0,3,11/8/2021 10:05,0.858
4_WT_controla_m,4,M,10,WT,0,3,11/8/2021 10:05,0.452
4_WT_controla_m,4,M,11,WT,0,3,11/8/2021 10:05,0.814
4_WT_controla_m,4,M,12,WT,0,3,11/8/2021 10:05,0.688
4_WT_controla_m,4,M,13,WT,0,3,11/8/2021 10:05,0.654
4_WT_controla_m,4,M,14,WT,0,3,11/8/2021 10:05,1.564
4_WT_controla_m,4,M,15,WT,0,3,11/8/2021 10:05,0.318
4_WT_controla_m,4,M,16,WT,0,3,11/8/2021 10:05,0.717
4_WT_controla_m,4,M,17,WT,0,3,11/8/2021 10:05,0.387
4_WT_controla_m,4,M,18,WT,0,3,11/8/2021 10:05,0.705
4_WT_controla_m,4,M,19,WT,0,3,11/8/2021 10:05,0.56
4_WT_controla_m,4,M,20,WT,0,3,11/8/2021 10:05,0.571
4_WT_controla_m,4,M,21,WT,0,3,11/8/2021 10:05,0.845
4_WT_controla_m,4,M,22,WT,0,3,11/8/2021 10:05,1.039
4_WT_controlb_m,4,M,1,WT,0,3,11/8/2021 10:05,0.859
4_WT_controlb_m,4,M,2,WT,0,3,11/8/2021 10:05,0.596
4_WT_controlb_m,4,M,3,WT,0,3,11/8/2021 10:05,0
4_WT_controlb_m,4,M,4,WT,0,3,11/8/2021 10:05,0.611
4_WT_controlb_m,4,M,5,WT,0,3,11/8/2021 10:05,0.892
4_WT_controlb_m,4,M,6,WT,0,3,11/8/2021 10:05,0.304
4_WT_controlb_m,4,M,7,WT,0,3,11/8/2021 10:05,0.634
4_WT_controlb_m,4,M,8,WT,0,3,11/8/2021 10:05,0.698
4_WT_controlb_m,4,M,9,WT,0,3,11/8/2021 10:05,0.776
4_WT_controlb_m,4,M,10,WT,0,3,11/8/2021 10:05,0.891
4_WT_controlb_m,4,M,11,WT,0,3,11/8/2021 10:05,0.508
4_WT_controlb_m,4,M,12,WT,0,3,11/8/2021 10:05,0.729
4_WT_controlb_m,4,M,13,WT,0,3,11/8/2021 10:05,0.843
4_WT_controlb_m,4,M,14,WT,0,3,11/8/2021 10:05,0.604
4_WT_controlb_m,4,M,15,WT,0,3,11/8/2021 10:05,0.695
4_WT_controlb_m,4,M,16,WT,0,3,11/8/2021 10:05,0.714
4_WT_controlb_m,4,M,17,WT,0,3,11/8/2021 10:05,0.485
