plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,date_time,root
7_WT_controla_m,9,M,1,WT,0,5,,3.473
7_WT_controla_m,9,M,2,WT,0,5,,3.719
7_WT_controla_m,9,M,3,WT,0,5,,3.505
7_WT_controla_m,9,M,4,WT,0,5,,3.98
7_WT_controla_m,9,M,5,WT,0,5,,3.463
7_WT_controla_m,9,M,6,WT,0,5,,3.483
7_WT_controla_m,9,M,7,WT,0,5,,3.994
7_WT_controla_m,9,M,8,WT,0,5,,4.004
7_WT_controla_m,9,M,9,WT,0,5,,4.696
7_WT_controla_m,9,M,10,WT,0,5,,3.836
7_WT_controla_m,9,M,11,WT,0,5,,3.286
7_WT_controla_m,9,M,12,WT,0,5,,3.509
7_WT_controla_m,9,M,13,WT,0,5,,3.432
7_WT_controla_m,9,M,14,WT,0,5,,3.635
7_WT_controla_m,9,M,15,WT,0,5,,3.056
7_WT_controla_m,9,M,16,WT,0,5,,2.732
7_WT_controla_m,9,M,17,WT,0,5,,4.036
7_WT_controla_m,9,M,18,WT,0,5,,4.225
7_WT_controla_m,9,M,19,WT,0,5,,3.923
7_WT_controla_m,9,M,20,WT,0,5,,3.233
7_WT_controla_m,9,M,21,WT,0,5,,3.717
7_WT_5_m,9,M,1,WT,25,5,,2.93
7_WT_5_m,9,M,2,WT,25,5,,2.517
7_WT_5_m,9,M,3,WT,25,5,,3.712
7_WT_5_m,9,M,4,WT,25,5,,2.81
7_WT_5_m,9,M,5,WT,25,5,,2.824
7_WT_5_m,9,M,6,WT,25,5,,3.24
7_WT_5_m,9,M,7,WT,25,5,,2.617
7_WT_5_m,9,M,8,WT,25,5,,2.577
7_WT_5_m,9,M,9,WT,25,5,,3.246
7_WT_5_m,9,M,10,WT,25,5,,2.901
7_WT_5_m,9,M,11,WT,25,5,,2.32
7_WT_5_m,9,M,12,WT,25,5,,2.625
7_WT_5_m,9,M,13,WT,25,5,,2.044
7_WT_5_m,9,M,14,WT,25,5,,2.168
7_WT_5_m,9,M,15,WT,25,5,,2.13
7_WT_5_m,9,M,16,WT,25,5,,2.326
7_WT_5_m,9,M,17,WT,25,5,,2.777
7_WT_5_m,9,M,18,WT,25,5,,2.34
7_WT_5_m,9,M,19,WT,25,5,,2.404
7_WT_5_m,9,M,20,WT,25,5,,1.045
7_WT_5_m,9,M,21,WT,25,5,,2.747
7_WT_5_m,9,M,22,WT,25,5,,4.021
7_WT_7.5_m,9,M,1,WT,50,5,,3.351
7_WT_7.5_m,9,M,2,WT,50,5,,3.438
7_WT_7.5_m,9,M,3,WT,50,5,,3.57
7_WT_7.5_m,9,M,4,WT,50,5,,2.315
7_WT_7.5_m,9,M,5,WT,50,5,,3.096
7_WT_7.5_m,9,M,6,WT,50,5,,3.065
7_WT_7.5_m,9,M,7,WT,50,5,,2.717
7_WT_7.5_m,9,M,8,WT,50,5,,2.831
7_WT_7.5_m,9,M,9,WT,50,5,,3.714
7_WT_7.5_m,9,M,10,WT,50,5,,1.91
7_WT_7.5_m,9,M,11,WT,50,5,,2.764
7_WT_7.5_m,9,M,12,WT,50,5,,2.609
7_WT_7.5_m,9,M,13,WT,50,5,,3.53
7_WT_7.5_m,9,M,14,WT,50,5,,2.236
7_WT_7.5_m,9,M,15,WT,50,5,,3.917
7_WT_7.5_m,9,M,16,WT,50,5,,3.067
7_WT_7.5_m,9,M,17,WT,50,5,,3.318
7_WT_7.5_m,9,M,18,WT,50,5,,2.699
7_WT_7.5_m,9,M,19,WT,50,5,,2.855
7_WT_7.5_m,9,M,20,WT,50,5,,3.701
9_WT_100_m,9,M,1,WT,100,5,,3.317
9_WT_100_m,9,M,2,WT,100,5,,3.164
9_WT_100_m,9,M,3,WT,100,5,,2.686
9_WT_100_m,9,M,4,WT,100,5,,3.232
9_WT_100_m,9,M,5,WT,100,5,,2.786
9_WT_100_m,9,M,6,WT,100,5,,2.044
9_WT_100_m,9,M,7,WT,100,5,,3.861
9_WT_100_m,9,M,8,WT,100,5,,3.341
9_WT_100_m,9,M,9,WT,100,5,,2.996
9_WT_100_m,9,M,10,WT,100,5,,3.073
9_WT_100_m,9,M,11,WT,100,5,,4.375
9_WT_100_m,9,M,12,WT,100,5,,3.719
9_WT_100_m,9,M,13,WT,100,5,,2.682
9_WT_100_m,9,M,14,WT,100,5,,4.19
9_WT_100_m,9,M,15,WT,100,5,,4.545
9_WT_100_m,9,M,16,WT,100,5,,2.996
9_WT_100_m,9,M,17,WT,100,5,,2.966
9_WT_100_m,9,M,18,WT,100,5,,3.174
9_WT_100_m,9,M,19,WT,100,5,,3.92
9_WT_100_m,9,M,20,WT,100,5,,4.953
9_WT_100_m,9,M,21,WT,100,5,,3.694
9_WT_100_m,9,M,22,WT,100,5,,1.903
9_WT_125_m,9,M,1,WT,137.5,5,,4.062
9_WT_125_m,9,M,2,WT,137.5,5,,0.86
9_WT_125_m,9,M,3,WT,137.5,5,,3.147
9_WT_125_m,9,M,4,WT,137.5,5,,3.403
9_WT_125_m,9,M,5,WT,137.5,5,,4.028
9_WT_125_m,9,M,6,WT,137.5,5,,3.309
9_WT_125_m,9,M,7,WT,137.5,5,,3.52
9_WT_125_m,9,M,8,WT,137.5,5,,2.969
9_WT_125_m,9,M,9,WT,137.5,5,,3.438
9_WT_125_m,9,M,10,WT,137.5,5,,3.827
9_WT_125_m,9,M,11,WT,137.5,5,,1.51
9_WT_125_m,9,M,12,WT,137.5,5,,3.467
9_WT_125_m,9,M,13,WT,137.5,5,,1.312
9_WT_125_m,9,M,14,WT,137.5,5,,3.719
9_WT_125_m,9,M,15,WT,137.5,5,,3.463
9_WT_125_m,9,M,16,WT,137.5,5,,3.47
9_WT_125_m,9,M,17,WT,137.5,5,,3.123
9_WT_200_m,9,M,1,WT,200,5,,1.863
9_WT_200_m,9,M,2,WT,200,5,,2.009
9_WT_200_m,9,M,3,WT,200,5,,2.85
9_WT_200_m,9,M,4,WT,200,5,,2.7
9_WT_200_m,9,M,5,WT,200,5,,1.682
9_WT_200_m,9,M,6,WT,200,5,,2.098
9_WT_200_m,9,M,7,WT,200,5,,3.019
9_WT_200_m,9,M,8,WT,200,5,,1.316
9_WT_200_m,9,M,9,WT,200,5,,1.787
9_WT_200_m,9,M,10,WT,200,5,,2.35
9_WT_200_m,9,M,11,WT,200,5,,1.96
9_WT_200_m,9,M,12,WT,200,5,,1.575
9_WT_200_m,9,M,13,WT,200,5,,1.071
9_WT_200_m,9,M,14,WT,200,5,,1.546
9_WT_200_m,9,M,15,WT,200,5,,0.592
9_WT_200_m,9,M,16,WT,200,5,,1.799
9_WT_200_m,9,M,17,WT,200,5,,2.262
9_WT_200_m,9,M,18,WT,200,5,,2.59
9_WT_200_m,9,M,19,WT,200,5,,1.151
9_WT_200_m,9,M,20,WT,200,5,,2.274
9_WT_200_m,9,M,21,WT,200,5,,2.13
9_WT_200_m,9,M,22,WT,200,5,,1.896
