plate_id,experiment,girlboss,seedling,genotype,ATP_conc,day,day_date,root
1_WT_controla_j,1,J,1,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,2,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,3,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,4,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,5,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,6,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,7,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,8,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,9,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,10,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,11,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,12,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,13,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,14,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,15,WT,0,3,9/24/2021 10:55,0.275
1_WT_controla_j,1,J,16,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,17,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,18,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,19,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,20,WT,0,3,9/24/2021 10:55,0.559
1_WT_controla_j,1,J,21,WT,0,3,9/24/2021 10:55,0
1_WT_controla_j,1,J,22,WT,0,3,9/24/2021 10:55,0
1_WT_controlb_j,1,J,1,WT,0,3,9/24/2021 10:56,0
1_WT_controlb_j,1,J,2,WT,0,3,9/24/2021 10:56,0
1_WT_controlb_j,1,J,3,WT,0,3,9/24/2021 10:56,0.451
1_WT_controlb_j,1,J,4,WT,0,3,9/24/2021 10:56,0
