plate_id,experiment,girlboss,seedliNA,genotype,ATP_conc,day,date_time,root,ATP_dummy,geno_dummy,rootgrowth
1_WT_controla_m,1,m,1,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,2,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,3,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,4,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,5,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,6,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,7,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,8,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,9,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,10,WT,0,3,9/24/2021 10:19,0.749,0,0,0.749
1_WT_controla_m,1,m,11,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controla_m,1,m,12,WT,0,3,9/24/2021 10:19,0.75,0,0,0.75
1_WT_controla_m,1,m,13,WT,0,3,9/24/2021 10:19,NA,0,0,0
1_WT_controlb_m,1,m,1,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,2,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,3,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,4,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,5,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,6,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,7,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,8,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,9,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,10,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,11,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,12,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,13,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,14,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,15,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,16,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,17,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,18,WT,0,3,9/24/2021 10:24,NA,0,0,0
1_WT_controlb_m,1,m,19,WT,0,3,9/24/2021 10:24,NA,0,0,0
